State,Bill#,Description,Type,Status
MT,H140,"In April, Gov. Greg Gianforte (R) signed a measure (H 140) that requires people seeking an abortion to have an opportunity to view an ultrasound image of their fetus. The law is scheduled to take effect in October.",Reporting Requirements,Enacted
MT,H167,"In April, Gov. Greg Gianforte (R) signed legislation (H 167) that adds a measure to the 2022 ballot that would require providers to preserve the life of a fetus delivered alive after an abortion. The state already has a similar requirement in effect. If approved by the voters, the law would go into effect in January 2023.",Provider-Specific Restrictions,Enacted
MT,H171,"In April, Gov. Greg Gianforte (R) signed legislation (H 171) that restricts access to medication abortion. The law requires the drugs to be administered in person and prohibits the mailing of the medication, effectively prohibiting the use of telehealth for medication abortion. It requires the provider to handle abortion complications or contract with another provider to do so. In addition, the patient must receive counseling at least 24 hours before a medication abortion and then certify that the counseling was provided. The counseling must include unproven information regarding medication abortion “reversal,” along with information on the risks of medication abortion. The law also requires additional medication abortion reporting, including information on the drugs used, the payment method, the reason for the abortion and information on any complications. The law is scheduled to take effect in October.",Medication Abortion,Enacted
MT,H229,"In April, Gov. Greg Gianforte (R) signed legislation (H 229) that prohibits health insurance plans purchased through the state exchange from covering an abortion unless the patient’s life is endangered, or in cases of rape or incest. The law is scheduled to take effect in October.",Insurance Coverage,Enacted
MT,H337,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Passed One Chamber
MT,S315,Requirements for Infant Born Alive,Provider-Specific Restrictions,Passed One Chamber
NC,H31,All or Most Abortions Banned,Abortion Ban,Introduced
NC,H453,Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Vetoed
NC,H510,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
NC,S404,Counseling on the Potential to Reverse a Medication Abortion,Mandatory Counseling and Waiting Periods,Introduced
NC,S405,Requirements for Infant Born Alive,Provider-Specific Restrictions,Passed One Chamber
ND,H1313,All or Most Abortions Banned,Abortion Ban,Introduced
ND,S2323,Targeted regulation of abortion providers,Clinic Regulation,Introduced
NH,H2,"In June, Gov. Chris Sununu (R) signed legislation (H 2) that limits access to abortion and family planning services. The law prohibits abortion at 24 weeks after the last menstrual period except in cases of life endangerment or severe physical health conditions. The law also requires an ultrasound before an abortion and establishes reporting for abortions provided at or after 24 weeks. The state also cannot allocate family planning funds to organizations that provide abortion services beyond cases of life endangerment, rape or incest. The fiscal year started in July.",Abortion Ban,Enacted
NH,H233,Requirements for Infant Born Alive,Provider-Specific Restrictions,Passed One Chamber
NH,H430,Regulates Clinic Access,Clinic Regulation,Introduced
NH,H434,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Introduced
NH,H596,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Introduced
NH,H622,Postviability Abortion Restriction,Abortion Ban,Introduced
NH,H625,Abortion Banned after 12 weeks LMP,Abortion Ban,Passed One Chamber
NJ,A152,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
NJ,A2228,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
NJ,A2936,Provider may omit medical information that could lead to abortion,Allows Withholding of Pregnancy Information,Introduced
NJ,A2978,Fetal tissue donation and research restricted,Fetal Tissue,Introduced
NJ,A3215,Fetal tissue donation and research restricted,Fetal Tissue,Introduced
NJ,A3725,Abortion Method Banned,Abortion Method Bans,Introduced
NJ,A579,Waiting Period Requirements,Mandatory Counseling and Waiting Periods,Introduced
NJ,ACR123,Requires Parental Notice for Abortion,Parental Involvement,Introduced
NJ,S1741,Waiting Period Requirements,Mandatory Counseling and Waiting Periods,Introduced
NJ,S429,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
NJ,S462,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
NJ,S924,Fetal tissue donation and research restricted,Fetal Tissue,Introduced
NJ,SCR20,Requires Parental Notice for Abortion,Parental Involvement,Introduced
NM,H160,Targeted regulation of abortion providers,Clinic Regulation,Introduced
NM,S323,Allows refusal by medical providers,Expanding Refusal,Introduced
NV,A175,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Introduced
NV,A176,Requires Parental Notice for Abortion,Parental Involvement,Introduced
NY,A3752,Counseling on Perinatal Hospice for Severe Fetal Anomaly,Mandatory Counseling and Waiting Periods,Introduced
NY,A3780,Amending the Court Process to Waive Parental Involvement,Parental Involvement,Introduced
NY,A4429,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
NY,A7437,All or Most Abortions Banned,Abortion Ban,Introduced
NY,S2569,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
OH,H110,"In June, Gov. Mike DeWine (R) signed the state’s budget (H 110), which includes $25 million for maternal and child health and $3 million for abortion alternatives, as well as statutory provisions on sex education, refusal to provide medical services and abortion. The budget requires the state to expand Medicaid coverage for one year postpartum (an increase from 60 days). Schools must notify parents when a sex education class includes any instruction besides the abstinence programming that is required by state law. The budget also prohibits the state Board of Education from adopting regulations on sex education that differ from state law and requires the state Department of Education to audit sex education programs each year. The law also includes an expansive refusal clause that allows medical providers, medical institutions and health insurers to refuse to provide any treatment or service as a result of religious, moral or ethical beliefs. In addition, an abortion clinic that wants to be granted a waiver from the requirement that it have a transfer agreement with a local hospital must have an arrangement with a physician who has privileges at a hospital within 25 miles of the clinic. The money for maternal and child health and alternatives to abortion services is for each of the next two fiscal years. The 2022 fiscal year started in July.",Clinic Regulation; Crisis Pregnancy Centers; Expanding Refusal,Enacted
OH,S123,All or Most Abortions Banned,Abortion Ban,Introduced
OH,S157,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
OH,S260,"In January, Gov. Mike DeWine (R) signed a measure (S 260) that prohibits the use of telemedicine for medication abortion. Under the law, a patient must take the initial dose of medication in the physical presence of a physician. The measure is scheduled to take effect in April.",Medication Abortion,Enacted
OK,H1102,"In April, Gov. Kevin Stitt (R) signed a measure (H 1102) that bans abortion by defining it as “unprofessional conduct” for physicians. The ban has exceptions when the patient’s life or physical health is endangered. The measure is scheduled to take effect in November.",Abortion Ban,Enacted
OK,H1904,"In April, Gov. Kevin Stitt (R) signed legislation (H 1904) that limits abortion provision to physicians who are board-certified in obstetrics and gynecology. Previously any physician could provide abortion services. The law is scheduled to take effect in November.",Provider-Specific Restrictions,Enacted
OK,H2441,"In April, Gov. Kevin Stitt (R) signed a measure (H 2441) that bans abortion after a fetal heartbeat is detected, generally about six weeks after a person’s last menstrual period. An abortion would only be permitted in cases where the patient’s life or physical health is endangered. The law is scheduled to take effect in November.",Abortion Ban,Enacted
OK,HJR1027,All or Most Abortions Banned; Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
OK,S495,All or Most Abortions Banned,Abortion Ban,Introduced
OK,S612,All or Most Abortions Banned,Abortion Ban,Passed One Chamber
OK,S723,All or Most Abortions Banned,Abortion Ban,Passed One Chamber
OK,S778,"In May, Gov. Kevin Stitt (R) signed legislation (S 778) that limits access to and provision of medication abortion. The measure reinforces existing law that only a physician can provide medication abortion and also prohibits the mailing of the pills necessary for the procedure. It also requires the provider to verify the pregnancy and conduct blood tests before a medication abortion, requiring the patient to make a trip to the clinic before a 72-hour waiting period already in effect begins. The provider must also be able to handle emergencies related to medication abortion or have a contract with another physician who can provide this care. In addition, the patient will be required to receive counseling on, and consent in writing to, the medication abortion. This counseling must provide unverified information on medication abortion “reversal,” including the unproven idea that reversing a medication abortion does not increase the risk of maternal mortality. (Currently counseling related to reversing a medication abortion is not in effect because of a pending court case.) The law also requires reporting requirements for each medication abortion that includes the types of medication used, information on complications and payment information. The law is scheduled to go into effect in November.",Reporting Requirements,Enacted
OK,S779,"In May, Gov. Kevin Stitt (R) signed legislation (S 779) that requires the State Board of Pharmacy, the State Board of Medical Licensure and Supervision, and the State Board of Osteopathic Examiners to establish certification requirements for providing medication abortion. The regulations, which restate the state’s ban on telehealth for medication abortion, limit distribution of medication abortion pills to those providers participating in the program and prohibit mailing of the pills necessary for the procedure. Providers are required to verify the patient’s pregnancy in-person and to provide the patient with information about medication abortion, including unverified information that reversing a medication abortion does not increase genetic anomalies in the fetus or increase the risk of maternal mortality. The law prohibits providing medication abortion after 10 weeks of pregnancy. It also requires providers to either have admitting privileges at a hospital in the same county as the abortion facility or an adjacent county, or to have an agreement with a physician who has those privileges. Providers are also required to report medication abortions, including the types of medication used and information on any complications. The law is scheduled to take effect in November.",Reporting Requirements,Enacted
OK,S918,"In April, Gov. Kevin Stitt (R) signed legislation (S 918) that would ban abortion if the U.S. Supreme Court overturns Roe v. Wade.",Abortion Ban,Enacted
OK,S923,All or Most Abortions Banned,Abortion Ban,Introduced
OK,SJR17,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
OR,H2540,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
OR,H2699,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
OR,S507,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
OR,S586,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
OR,S653,Allows refusal by medical providers,Expanding Refusal,Introduced
OR,S654,Abortion for Sex Selection Banned,Abortion Ban,Introduced
OR,S671,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
PA,H1348,Crisis Pregnancy Center Funding,Crisis Pregnancy Centers,Enacted
PA,H1500,Abortion Due to Genetic Anomaly Banned,Abortion Ban,Passed One Chamber
PA,H904,All or Most Abortions Banned,Abortion Ban,Introduced
PA,H935,Crisis Pregnancy Center Funding,Crisis Pregnancy Centers,Introduced
PA,H936,Crisis Pregnancy Center Funding,Crisis Pregnancy Centers,Introduced
PA,S21,Abortion Due to Genetic Anomaly Banned; Abortion for Sex Selection Banned,Abortion Ban,Introduced
PA,S378,All or Most Abortions Banned,Abortion Ban,Introduced
RI,H5552,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
RI,H5582,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
RI,H5865,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
RI,S645,Targeted regulation of abortion providers,Clinic Regulation,Introduced
RI,S664,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
RI,S669,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
SC,H3163,All or Most Abortions Banned,Abortion Ban,Introduced
SC,H3508,Allows refusal by medical providers,Expanding Refusal,Introduced
SC,H3512,Abortion Due to Genetic Anomaly Banned,Abortion Ban,Introduced
SC,H3518,Allows refusal by medical providers,Expanding Refusal,Introduced
SC,H3568,All or Most Abortions Banned,Abortion Ban,Introduced
SC,H3872,Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Introduced
SC,H4005,Targeted regulation of abortion providers,Clinic Regulation,Introduced
SC,H4046,All or Most Abortions Banned,Abortion Ban,Introduced
SC,H4088,All or Most Abortions Banned,Abortion Ban,Introduced
SC,S1,"All or Most Abortions Banned; In February, a federal district court temporarily blocked a ban on abortion when a fetal heartbeat is detected, generally about six weeks after a person’s last menstrual period. The measure (S 1), which was also enacted in February, would have permitted abortion after six weeks only when the patient’s life was severely endangered or in cases of lethal fetal anomaly; it only permitted abortion up to 22 weeks in cases of rape or incest. The measure is blocked pending further litigation.",Abortion Ban,Enacted
SC,S381,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
SC,S385,Fetal tissue donation and research restricted,Fetal Tissue,Introduced
SC,S399,All or Most Abortions Banned,Abortion Ban,Introduced
SC,S811,Allows refusal by medical providers,Expanding Refusal,Introduced
SD,H1051,"In February, Gov. Kristi Noem (R) approved a measure (H 1051) that requires physicians to preserve the life of a fetus delivered alive after an abortion procedure. The state already has a law that provides legal protections for a fetus delivered after an abortion. The measure is scheduled to take effect in July.",Provider-Specific Restrictions,Enacted
SD,H1110,"In March, Gov. Kristi Noem (R) signed a measure (H 1110) that prohibits abortion based on a fetus’s diagnosis or potential diagnosis of Down syndrome, except in cases of life endangerment. The measure is scheduled to take effect in July.",Abortion Ban,Enacted
SD,H1130,"In March, Gov. Kristi Noem (R) signed a measure (H 1130) that requires abortion providers to tell patients about medication abortion “reversal” during preabortion counseling. This information must also be provided a second time, along with a state-produced list of “reversal” resources, once the patient is ready to leave the clinic after taking the first medication abortion drug. The measure is scheduled to take effect in July.",Mandatory Counseling and Waiting Periods,Enacted
TN,H1181,"In May, Gov. Bill Lee (R) signed legislation (H 1181) that requires tissue from an abortion to be buried or cremated. The measure also requires that the patient is given both of these options. The law is scheduled to take effect in July.",Mandatory Counseling and Waiting Periods,Enacted
TN,H1252,Provider may omit medical information that could lead to abortion,Allows Withholding of Pregnancy Information,Introduced
TN,H1425,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Introduced
TN,H1539,All or Most Abortions Banned,Abortion Ban,Introduced
TN,H724,All or Most Abortions Banned,Abortion Ban,Introduced
TN,S1222,Targeted regulation of abortion providers,Clinic Regulation,Introduced
TN,S1370,"Provider may omit medical information that could lead to abortion; In May, Gov. Bill Lee (R) signed legislation (H 1370) that allows a medical provider to withhold information about the status of a pregnancy, in anticipation that the pregnant person might obtain an abortion based on the information. The law took effect upon signing.",Allows Withholding of Pregnancy Information,Enacted
TN,S204,All or Most Abortions Banned,Abortion Ban,Introduced
TN,S654,All or Most Abortions Banned,Abortion Ban,Introduced
TN,S828,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Introduced
TX, S394,Prohibits Telemedicine for Medication Abortion,Medication Abortion,Passed One Chamber
TX,H1165,All or Most Abortions Banned,Abortion Ban,Introduced
TX,H1171,Amending the Court Process to Waive Parental Involvement,Parental Involvement,Introduced
TX,H1229,Targeted regulation of abortion providers,Clinic Regulation,Introduced
TX,H1280,"All or Most Abortions Banned; In June, Gov. Greg Abbott (R) signed a “trigger ban” (H 1280) that would ban abortion if the U.S. Supreme Court overturns Roe v. Wade or if states are otherwise granted the authority to prohibit abortion. The Texas ban would only allow an abortion if the patient’s life is endangered or if the patient has a severe physical health condition.",Abortion Ban,Enacted
TX,H1291,Allows refusal by medical providers,Expanding Refusal,Introduced
TX,H1432,Abortion for Race Selection Banned,Abortion Ban,Introduced
TX,H1515,All or Most Abortions Banned,Abortion Ban,Introduced
TX,H1623,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
TX,H2313,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Introduced
TX,H2337,Prohibits Telemedicine for Medication Abortion,Medication Abortion,Introduced
TX,H2949,Limits Abortion Training Opportunities,Provider-Specific Restrictions,Introduced
TX,H2976,Requires Abortion Reporting,Reporting Requirements,Introduced
TX,H3218,Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Introduced
TX,H3326,All or Most Abortions Banned,Abortion Ban,Introduced
TX,H3641,All or Most Abortions Banned,Abortion Ban,Introduced
TX,H3760,All or Most Abortions Banned; Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Introduced
TX,H4034,Amending the Court Process to Waive Parental Involvement,Parental Involvement,Introduced
TX,H4304,Counseling on Perinatal Hospice for Severe Fetal Anomaly,Mandatory Counseling and Waiting Periods,Introduced
TX,H69,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
TX,HJR113,Weakens Abortion Protections in State Constitution,State Constitutional Protections,Introduced
TX,HJR158,Weakens Abortion Protections in State Constitution,State Constitutional Protections,Introduced
TX,HJR80,Weakens Abortion Protections in State Constitution,State Constitutional Protections,Introduced
TX,S1,Crisis Pregnancy Center Funding,Crisis Pregnancy Centers,Enacted
TX,S1146,Targeted regulation of abortion providers,Clinic Regulation,Passed One Chamber
TX,S1439,Limits Abortion Training Opportunities,Provider-Specific Restrictions,Passed One Chamber
TX,S1546,Admitting privileges required for abortion providers,Clinic Regulation,Introduced
TX,S1647,All or Most Abortions Banned; Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Passed One Chamber
TX,S1671,All or Most Abortions Banned,Abortion Ban,Introduced
TX,S294,Requires Abortion Reporting,Reporting Requirements,Introduced
TX,S391,All or Most Abortions Banned,Abortion Ban,Introduced
TX,S573,Allows refusal by medical providers,Expanding Refusal,Introduced
TX,S650,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Passed One Chamber
TX,S8,"In May, Gov. Greg Abbott (R) signed a measure (S 8) that bans abortion after the detection of fetal cardiac activity, which is typically at six weeks of pregnancy. An abortion can only be provided after that point if the patient’s life is endangered or there is a severe health condition. Unlike all other abortion bans, there are no criminal penalties; instead, the ban will be enforced through civil lawsuits. The law allows any person in the country to sue a Texas resident who provides an abortion prohibited by the ban or assists the patient in accessing such care. It is scheduled to take effect in September.",Abortion Ban,Enacted
TX,S802,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Passed One Chamber
TX,S9,All or Most Abortions Banned,Abortion Ban,Passed One Chamber
TX,SJR25,Weakens Abortion Protections in State Constitution,State Constitutional Protections,Introduced
UT,H164,General Counseling Requirements,Mandatory Counseling and Waiting Periods,Introduced
UT,H253,"In April, Gov. Mark Gordon (R) approved a measure (H 253) that prohibits abortion coverage in health insurance plans provided by the state’s public university and community colleges. The measure is scheduled to take effect in July.",Mandatory Counseling and Waiting Periods,Enacted
VA,H2241,Abortion Method Banned,Abortion Method Bans,Introduced
VT,H248,Abortion Banned after 12 weeks LMP; Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
WA,H1008,Abortion Due to Genetic Anomaly Banned,Abortion Ban,Introduced
WA,S5053,Amending the Court Process to Waive Parental Involvement,Parental Involvement,Introduced
WA,S5416,Abortion Due to Genetic Anomaly Banned,Abortion Ban,Introduced
WI,A262,Requires Abortion Reporting,Reporting Requirements,Introduced
WI,A370,Limits Abortion Training Opportunities,Provider-Specific Restrictions,Introduced
WI,A6,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
WI,S16,Requirements for Infant Born Alive,Provider-Specific Restrictions,Introduced
WI,S260,Limits Abortion Training Opportunities,Provider-Specific Restrictions,Introduced
WI,S261,Requires Abortion Reporting,Reporting Requirements,Introduced
WV,H2169,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
WV,H2239,All or Most Abortions Banned; Fetal tissue donation and research restricted,Abortion Ban,Introduced
WV,H2762,Targeted regulation of abortion providers,Clinic Regulation,Introduced
WV,H2843,Targeted regulation of abortion providers,Clinic Regulation,Introduced
WV,H2954,Abortion Banned after 12 weeks LMP,Abortion Ban,Introduced
WV,H2982,Counseling on the Potential to Reverse a Medication Abortion,Mandatory Counseling and Waiting Periods,Introduced
WV,H3024,Abortion Due to Genetic Anomaly Banned,Abortion Ban,Introduced
WV,H3259,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Introduced
WV,H3265,Ultrasound Must Be Performed,Ultrasound or Fetal Heartbeat Testing,Introduced
WV,S251,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
WV,S328,Requires Abortion Reporting,Reporting Requirements,Introduced
WV,S337,Bans Abortion by Establishing Fetal Personhood,Abortion Ban,Introduced
WV,S416,All or Most Abortions Banned,Abortion Ban,Introduced
WV,S423,Abortion Coverage Restricted in Private Health Care Plans,Insurance Coverage,Introduced
WV,S563,Bans the Use of Medication Abortion,Medication Abortion,Introduced
WV,S595,Bans the Use of Medication Abortion,Medication Abortion,Introduced
WV,S609,"In April, Gov. Jim Justice (R) signed a measure (H 2982) that requires abortion counseling to include oral and written information on the unverified claim that medication abortion can be “reversed.” In addition, the state’s written materials will be revised to include information on the topic. The law is scheduled to take effect in July.",Mandatory Counseling and Waiting Periods,Enacted
WV,S74,Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Introduced
WV,S87,All or Most Abortions Banned,Abortion Ban,Introduced
WY,H134,All or Most Abortions Banned,Abortion Ban,Introduced
WY,H161,Abortion Due to Genetic Anomaly Banned; Abortion for Race Selection Banned; Abortion for Sex Selection Banned,Abortion Ban,Passed One Chamber
WY,H253,Abortion Coverage Restricted in Private Health Care Plans,Insurance Coverage,Enacted
WY,H70,Counseling Includes Inaccurate Information on Mental Health Outcomes,Mandatory Counseling and Waiting Periods,Introduced
WY,S133,Bans the Use of Medication Abortion,Medication Abortion,Introduced
WY,S34,"In April, Gov. Mark Gordon (R) approved a measure (S 34) that requires physicians to preserve the life of a fetus delivered alive after an abortion. The state already has a law that provides protection for a fetus delivered after an abortion.",Provider-Specific Restrictions,Enacted